feeder_code,lt_consumer_count,ht_consumer_count,lt_consumption,ht_consumption,lt_billed_amount,ht_billed_amount,lt_collected_amount,ht_collected_amount,month_date,month_name,month_number,si_no,region,circle,subdivision,section,substation_code,substation_name,feeder_line_length_km,manufacturer_name,msn,mf,mect,mept,mode,voltage_level,feeder_category,is_nfms_feeder,lat,long,dcu_no,division,feeder_name,year,month,Total_Billed_Amount,Total_Collection,Revenue_Gap,Total_Consumption
926507,962.0,0.0,334269.0,,1955145.0,,1966458.0,,2025-01-01,January,1,,,,,,,,,,,,,,,,,,,,,,,2025,1,1955145.0,1966458.0,-11313.0,334269.0
926503,1.0,0.0,1088.0,,7897.0,,7897.0,,2025-01-01,January,1,,,,,,,,,,,,,,,,,,,,,,,2025,1,7897.0,7897.0,0.0,1088.0
920727,2775.0,0.0,741403.0,,4925925.0,,4901384.0,,2025-01-01,January,1,238.0,Chennai South,South I Chennai,Kodambakkam,Rangarajapuram,9207.0,KODAMBAKKAM 110 KV ,4.651,L and T,19407228,300.0,300.0,100.0,Output Feeder,11 KV,Non AG,YES,13.052806,80.220329,,KK Nagar,920727-RANGARAJAPURAM,2025,1,4925925.0,4901384.0,24541.0,741403.0
920705,459.0,0.0,84963.0,,1106176.0,,1129156.0,,2025-01-01,January,1,241.0,Chennai South,South I Chennai,Kodambakkam,Rangarajapuram,9207.0,KODAMBAKKAM 110 KV ,2.851,L and T,19407257,300.0,300.0,100.0,Output Feeder,11 KV,Non AG,YES,13.052806,80.220329,,KK Nagar,920705-NUNGAMBAKKAM,2025,1,1106176.0,1129156.0,-22980.0,84963.0
920704,1186.0,0.0,100210.0,,1261444.0,,1289321.0,,2025-01-01,January,1,240.0,Chennai South,South I Chennai,Kodambakkam,Rangarajapuram,9207.0,KODAMBAKKAM 110 KV ,3.739,L and T,19407230,300.0,300.0,100.0,Output Feeder,11 KV,Non AG,YES,13.052806,80.220329,,KK Nagar,920704-0.25 MAMBALAM,2025,1,1261444.0,1289321.0,-27877.0,100210.0
920701,1147.0,0.0,255117.0,,2355253.0,,2356048.0,,2025-01-01,January,1,239.0,Chennai South,South I Chennai,Kodambakkam,Rangarajapuram,9207.0,KODAMBAKKAM 110 KV ,4.09,L and T,19407226,300.0,300.0,100.0,Output Feeder,11 KV,Non AG,YES,13.05317126,80.2276499,,KK Nagar,920701-0.1 MAMBALAM,2025,1,2355253.0,2356048.0,-795.0,255117.0
225807,19.0,0.0,7898.0,,33457.0,,33878.0,,2025-01-01,January,1,,,,,,,,,,,,,,,,,,,,,,,2025,1,33457.0,33878.0,-421.0,7898.0
225607,785.0,0.0,357508.0,,3168621.0,,3076995.0,,2025-01-01,January,1,,,,,,,,,,,,,,,,,,,,,,,2025,1,3168621.0,3076995.0,91626.0,357508.0
225606,2998.0,0.0,181054.0,,1909438.0,,1905207.0,,2025-01-01,January,1,,,,,,,,,,,,,,,,,,,,,,,2025,1,1909438.0,1905207.0,4231.0,181054.0
223814,1175.0,0.0,229247.0,,2194644.0,,2173879.0,,2025-01-01,January,1,163.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR NORTH,2238.0,USMAN ROAD SS,2.046,GENUS,05074313,400.0,400.0,100.0,Output Feeder,11 KV,Non AG,YES,13.0469,80.23349,00451H21,TNagar,223814-11 KV BHARATHI NAGAR,2025,1,2194644.0,2173879.0,20765.0,229247.0
